inst,N,K,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15
10,40,2,1800.7628796100616,4.678242469491353,28.13795042037964,4.727012939691082,54.34074544906616,4.683954224686756,669.0208141803741,4.678242469491353,,,,,,,,,,,,,,,,,,,,,,,,
11,40,2,1800.9416155815125,4.6336703280137295,54.86821985244751,4.739925482993102,347.0686948299408,4.659971731847886,566.7787146568298,4.636447574048766,760.9928002357483,4.6336703280137295,,,,,,,,,,,,,,,,,,,,,,
12,40,2,1801.9820775985718,4.60969460532411,362.3229777812958,4.7335439881171055,574.65877866745,4.667475276159505,1385.1698505878448,4.60969460532411,,,,,,,,,,,,,,,,,,,,,,,,
13,40,2,1800.959285736084,4.408090427144952,18.35529923439026,4.434348540727385,103.08970355987549,4.427993287289821,170.50201773643494,4.4217699156517005,311.30131673812866,4.408090427144952,,,,,,,,,,,,,,,,,,,,,,
14,40,2,1801.3093786239624,4.531974248366473,253.2424716949463,4.600092394438579,385.96553468704224,4.531974248366473,,,,,,,,,,,,,,,,,,,,,,,,,,
15,40,2,1800.1187582015991,4.760483972788495,97.63576579093933,4.8597567523870895,115.23920679092407,4.848588243576922,208.50291538238525,4.788489208580218,649.5245389938354,4.7714037887211616,675.607990026474,4.760483972788495,,,,,,,,,,,,,,,,,,,,
16,40,2,1801.0754613876343,4.45737436688988,87.40684700012207,4.53448306191499,266.28246235847473,4.515691464246054,397.6067202091217,4.502663340808203,660.9888718128204,4.4931770847579475,1120.075889825821,4.45737436688988,,,,,,,,,,,,,,,,,,,,
17,40,2,1802.0107436180115,4.505570712859765,16.74687147140503,4.505570712859765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,40,2,1801.1112310886383,4.4569660480855395,104.22840642929077,4.519589739649052,284.79325890541077,4.506689161394962,502.55699491500854,4.481873791548608,1121.5926382541656,4.462456704688375,1321.343790769577,4.457477214876876,1374.4162662029266,4.4569660480855395,,,,,,,,,,,,,,,,,,
19,40,2,1800.2108190059662,4.675114486938511,55.814722537994385,4.767949769252614,109.25661659240723,4.705995718459363,441.557195186615,4.695612794598104,857.7026419639587,4.675114486938511,,,,,,,,,,,,,,,,,,,,,,
20,40,2,1801.7897672653198,4.276489721976245,181.1458134651184,4.388741173243184,422.62918043136597,4.372815753577399,537.7525148391724,4.356822487601886,558.7528500556946,4.336519601605221,775.9170532226562,4.276489721976245,,,,,,,,,,,,,,,,,,,,
21,40,2,1800.0610918998718,4.646649556611827,66.59347581863403,4.733976465015397,146.49725246429443,4.6821849363212324,305.5045835971832,4.66546363348964,449.5273115634918,4.646649556611827,,,,,,,,,,,,,,,,,,,,,,
